hotel_name,rating,price,room_type,bed,amenities
Sweetome Vacation Rentals (The Lama Temple Hongyunge),4.6,soldOut,Notavailable,Notavailable,Wi-Fi in designated areas|Restaurant|Front desk (24 hours)|Café|Non-smoking floor|Luggage storage|Wake-up call
Xiangshanghui Hotel,4.8,After tax US$340.20,Fashionable Double Room,1 king bed,Wi-Fi in designated areas|Gym|Restaurant|Front desk (24 hours)|Café|Non-smoking floor|Luggage storage|Wake-up call|Designated Smoking Area
Qianzitong Hotel (Beijing Songyuan),4.2,After tax US$68.04,Superior Room (2 beds),2 single beds,Restaurant|ATM|Luggage storage|Wake-up call
Jiuxianju Hostel,4.7,After tax US$69.93,1 Room - Garden-View (Round bed),1 round bed,Wi-Fi in designated areas|Restaurant|Front desk (24 hours)|Luggage storage|Wake-up call|Designated Smoking Area
Floral Hotel Yuanxishe,4.7,After tax US$189,Guestroom,1 queen bed,Wi-Fi in designated areas|Airport pickup service|Restaurant|Front desk (24 hours)|Café|Luggage storage|Wake-up call|Teahouse|Library|Game room
Jiuxianju Hostel,4.7,After tax US$69.93,1 Room - Garden-View (Round bed),1 round bed,Wi-Fi in designated areas|Restaurant|Front desk (24 hours)|Luggage storage|Wake-up call|Designated Smoking Area
Floral Hotel Yuanxishe,4.7,After tax US$189,Guestroom,1 queen bed,Wi-Fi in designated areas|Airport pickup service|Restaurant|Front desk (24 hours)|Café|Luggage storage|Wake-up call|Teahouse|Library|Game room
Kaisheng Xingfeng International Hotel,4.2,After tax US$130.41,Standard Queen Room (No window),1 queen bed,Wi-Fi in designated areas|Airport Shuttle Service|Airport pickup service|Restaurant|Front desk (24 hours)|Bar|Café|Non-smoking floor|Currency exchange|ATM|Luggage storage|Wake-up call|Karaoke|Mahjong/chess/poker room|Teahouse|Beauty salon
Qihang International Hotel,4.6,After tax US$81.27,Standard Room,2 single beds,Wi-Fi in designated areas|Airport Shuttle Service|Shuttle service to nearby landmarks|Airport pickup service|Restaurant|Front desk (24 hours)|Non-smoking floor|ATM|Luggage storage|Wake-up call|Mahjong/chess/poker room
Holiday Inn Express (Beijing Wangjing),4.3,After tax US$162.54,Guestroom,1 double bed,Wi-Fi in designated areas|Gym|Restaurant|Front desk (24 hours)|Café|ATM|Luggage storage|Wake-up call
Yuju Service Apartment (Beijing Yansha Embassy Area),4.5,After tax US$226.80,Business Double Room,1 queen bed,Wi-Fi in designated areas|Gym|Front desk (24 hours)|Café|Non-smoking floor|Currency exchange|Luggage storage|Wake-up call|Golf course
Floral Hotel Michael's House,4.8,After tax US$153.09,"Standard Single Room, 1 Bedroom",1 queen bed,Wi-Fi in designated areas|Airport pickup service|Restaurant|Front desk (24 hours)|Non-smoking floor|Luggage storage|Wake-up call
The Place Apartment Hotel,4.3,soldOut,Notavailable,Notavailable,Front desk (24 hours)|Non-smoking floor|Luggage storage|Wake-up call
Exhibition Centre Hotel,4.5,After tax US$198.45,Main Villa Standard Room,2 single beds,Wi-Fi in designated areas|Restaurant|Non-smoking floor|Currency exchange|ATM|Luggage storage|Wake-up call
Floral Hotel Xianju Chanting (Beijing Badaling Great Wall),4.8,After tax US$81.27,2 Room (Double bed),1 queen bed,Wi-Fi in designated areas|Outdoor swimming pool|Restaurant|Front desk (24 hours)|Non-smoking floor|Luggage storage|Wake-up call|Skiing|Teahouse|Fishing|Designated Smoking Area
Floral Hotel Michael's House,4.8,After tax US$153.09,"Standard Single Room, 1 Bedroom",1 queen bed,Wi-Fi in designated areas|Airport pickup service|Restaurant|Front desk (24 hours)|Non-smoking floor|Luggage storage|Wake-up call
The Place Apartment Hotel,4.3,soldOut,Notavailable,Notavailable,Front desk (24 hours)|Non-smoking floor|Luggage storage|Wake-up call
Exhibition Centre Hotel,4.5,After tax US$198.45,Main Villa Standard Room,2 single beds,Wi-Fi in designated areas|Restaurant|Non-smoking floor|Currency exchange|ATM|Luggage storage|Wake-up call
Floral Hotel Xianju Chanting (Beijing Badaling Great Wall),4.8,After tax US$81.27,2 Room (Double bed),1 queen bed,Wi-Fi in designated areas|Outdoor swimming pool|Restaurant|Front desk (24 hours)|Non-smoking floor|Luggage storage|Wake-up call|Skiing|Teahouse|Fishing|Designated Smoking Area
Mark Jacobs Boutique Hotel,4.4,After tax US$241.92,Guestroom - Double Occupancy (Double bed) (No window),1 round bed,Wi-Fi in designated areas|Airport pickup service|Restaurant|Front desk (24 hours)|Bar|Non-smoking floor|Luggage storage|Wake-up call
Jingyuan Courtyard Hotel,4.5,After tax US$294.84,Cozy Twin Room,2 single beds,Wi-Fi in designated areas|Airport Shuttle Service|Airport pickup service|Restaurant|Front desk (24 hours)|Non-smoking floor|Luggage storage|Wake-up call
Yuanlin Hotel Beijing,4.3,After tax US$136.08,Standard Room,2 single beds,Wi-Fi in designated areas|Restaurant|Front desk (24 hours)|Luggage storage|Wake-up call|Karaoke|Table tennis|Billiards|Mahjong/chess/poker room|Teahouse|Game room
Yuanhang International Hotel,4.3,After tax US$117.18,Queen Room,1 queen bed,Wi-Fi in designated areas|Shuttle service to nearby landmarks|Airport Shuttle Service|Airport pickup service|Restaurant|Front desk (24 hours)|Massage|Foot massage|Café|Non-smoking floor|Currency exchange|ATM|Luggage storage|Wake-up call|Mahjong/chess/poker room|Teahouse|Beauty salon
Traveler Inn Huaqiao Beijing,4.5,After tax US$103.95,Business Queen Room,1 double bed,Wi-Fi in designated areas|Gym|Restaurant|Front desk (24 hours)|Café|Non-smoking floor|Currency exchange|Luggage storage|Wake-up call
Grace Art Hotel,4.4,After tax US$308.07,Business Queen Room,1 double bed,Wi-Fi in designated areas|Gym|Restaurant|Front desk (24 hours)|Bar|Café|Non-smoking floor|Luggage storage|Wake-up call
Yuanhang International Hotel,4.3,After tax US$116.56,Queen Room,1 queen bed,Wi-Fi in designated areas|Shuttle service to nearby landmarks|Airport Shuttle Service|Airport pickup service|Restaurant|Front desk (24 hours)|Massage|Foot massage|Café|Non-smoking floor|Currency exchange|ATM|Luggage storage|Wake-up call|Mahjong/chess/poker room|Teahouse|Beauty salon
Traveler Inn Huaqiao Beijing,4.5,After tax US$103.40,Business Queen Room,1 double bed,Wi-Fi in designated areas|Gym|Restaurant|Front desk (24 hours)|Café|Non-smoking floor|Currency exchange|Luggage storage|Wake-up call
Grace Art Hotel,4.4,After tax US$306.44,Business Queen Room,1 double bed,Wi-Fi in designated areas|Gym|Restaurant|Front desk (24 hours)|Bar|Café|Non-smoking floor|Luggage storage|Wake-up call
Zhi Resort,4.4,After tax US$325.24,Courtyard Queen Room,1 king bed,Wi-Fi in designated areas|Airport pickup service|Outdoor swimming pool|Gym|Restaurant|Front desk (24 hours)|Massage|Sauna|Foot massage|Spa|Bar|Café|Non-smoking floor|Luggage storage|Wake-up call|Basketball|Football|Tennis|Fishing
Golden Phoenix Hotel,4.5,After tax US$419.24,Themed Room,1 queen bed,Wi-Fi in designated areas|Airport Shuttle Service|Airport pickup service|Restaurant|Front desk (24 hours)|Non-smoking floor|Currency exchange|Wake-up call|Billiards
Rongfu Laozhai Hotel (Beijing Houhai),4.6,After tax US$251.92,Premier Family Room,1 queen bed and 1 futon bed,Wi-Fi in designated areas|Airport pickup service|Front desk (24 hours)|Non-smoking floor|ATM|Luggage storage
Jiming Hotel,4.1,After tax US$78.96,Business Double Room,1 double bed,Wi-Fi in designated areas|Front desk (24 hours)|Luggage storage|Wake-up call
Xiaoxi Hostel,4.9,After tax US$691.84,4 Room,2 queen beds,Wi-Fi in designated areas|Airport pickup service|Restaurant|Front desk (24 hours)|Luggage storage|Wake-up call|Mahjong/chess/poker room|Teahouse
Chujian Manshe Hostel (Beijing Shidu),4.8,soldOut,Notavailable,Notavailable,Wi-Fi in designated areas|Restaurant|Luggage storage|Wake-up call
Beidahuang Hotel,4.5,After tax US$90.24,Business Double Room,1 queen bed,Wi-Fi in designated areas|Restaurant|Front desk (24 hours)|Luggage storage|Wake-up call
Chujian Manshe Hostel (Beijing Shidu),4.8,soldOut,Notavailable,Notavailable,Wi-Fi in designated areas|Restaurant|Luggage storage|Wake-up call
Beidahuang Hotel,4.5,After tax US$90.24,Business Double Room,1 queen bed,Wi-Fi in designated areas|Restaurant|Front desk (24 hours)|Luggage storage|Wake-up call
Maya Island Hotel,4.3,After tax US$280.12,Deluxe Twin Bed Room,2 single beds,Wi-Fi in designated areas|Indoor swimming pool|Gym|Restaurant|Front desk (24 hours)|Sauna|Foot massage|Spa|Massage|Non-smoking floor|Luggage storage|Wake-up call|Karaoke|Beauty salon
Sunjoy Hotel,4.1,After tax US$129.72,Single Room,1 double bed,Wi-Fi in designated areas|Restaurant|Front desk (24 hours)|Café|Non-smoking floor|Luggage storage|Wake-up call|Designated Smoking Area
Tongfu Dayuan Hostel,4.8,After tax US$141,Guestroom (Double bed),1 queen bed,Wi-Fi in designated areas|Airport pickup service|Luggage storage|Mahjong/chess/poker room|Game room
huailiwutong,4.7,After tax US$112.80,Comfy Room (Double bed),1 queen bed,Wi-Fi in designated areas|Restaurant|Front desk (24 hours)|Luggage storage|Karaoke|Designated Smoking Area
Perfect Nostalgia Inn (Beijing South Luogu Lane),4.4,After tax US$94,Comfy Room (Double bed),1 queen bed,Wi-Fi in designated areas|Airport pickup service|Restaurant|Front desk (24 hours)|Non-smoking floor|Luggage storage|Wake-up call|Billiards
Jundu Hotel,4.6,After tax US$99.64,Standard Room,2 single beds,Wi-Fi in designated areas|Restaurant|Front desk (24 hours)|Bar|Non-smoking floor|ATM|Luggage storage|Wake-up call|Table tennis|Billiards|Basketball|Mahjong/chess/poker room
Tailianting Xipan Hotel (Beijing Yanqi Lake),4.3,After tax US$253.80,Romantic Room - Courtyard-View,1 double bed,Wi-Fi in designated areas|Restaurant|Front desk (24 hours)|Bar|Café|Luggage storage|Wake-up call|Karaoke|Mahjong/chess/poker room
Zhongyou Hotel,4.3,After tax US$150.40,Superior Double Room,1 queen bed,Wi-Fi in designated areas|Restaurant|Front desk (24 hours)|Non-smoking floor|Luggage storage|Wake-up call
