hotel_name,rating,price,room_type,bed,amenities
United Days Boutique Business Hotel,4.5,After tax US$210.80,Guestroom (2 beds),2 single beds,Wi-Fi in designated areas|Airport pickup service|Restaurant|Front desk (24 hours)|Bar|Café|Luggage storage|Wake-up call
Qinglian Furun Hotel (Beijing Railway Station),4.7,After tax US$76.50,Guestroom (Double bed),1 double bed,Wi-Fi in designated areas|Restaurant|Front desk (24 hours)|Luggage storage|Wake-up call
Junyi Runhua Hotel,4.6,After tax US$134.30,Budget Twin Room (Without window),2 single beds,Wi-Fi in designated areas|Restaurant|Front desk (24 hours)|Massage|Café|Currency exchange|ATM|Luggage storage|Wake-up call|Table tennis|Billiards|Mahjong/chess/poker room|Teahouse
SUNLIT HOTEL,4.9,After tax US$139.40,Smart Room (2 beds),2 single beds,Wi-Fi in designated areas|Restaurant|Front desk (24 hours)|Non-smoking floor|Luggage storage|Wake-up call|Library|Designated Smoking Area
Railway Hotel (Beijing West Railway Station),4.7,After tax US$108.80,Boutique Double Room,1 queen bed,Wi-Fi in designated areas|Restaurant|Front desk (24 hours)|Non-smoking floor|Luggage storage|Wake-up call
Shiyuan Pushen Hotel,4.5,After tax US$516.80,Guestroom (2 beds),2 single beds,Wi-Fi in designated areas|Airport pickup service|Indoor swimming pool|Gym|Restaurant|Front desk (24 hours)|Massage|Sauna|Hot spring|Foot massage|Spa|Non-smoking floor|Luggage storage|Wake-up call|Karaoke|Teahouse|Designated Smoking Area
United Days Boutique Business Hotel,4.5,After tax US$210.80,Guestroom (2 beds),2 single beds,Wi-Fi in designated areas|Airport pickup service|Restaurant|Front desk (24 hours)|Bar|Café|Luggage storage|Wake-up call
Qinglian Furun Hotel (Beijing Railway Station),4.7,After tax US$76.50,Guestroom (Double bed),1 double bed,Wi-Fi in designated areas|Restaurant|Front desk (24 hours)|Luggage storage|Wake-up call
Junyi Runhua Hotel,4.6,After tax US$134.30,Budget Twin Room (Without window),2 single beds,Wi-Fi in designated areas|Restaurant|Front desk (24 hours)|Massage|Café|Currency exchange|ATM|Luggage storage|Wake-up call|Table tennis|Billiards|Mahjong/chess/poker room|Teahouse
SUNLIT HOTEL,4.9,After tax US$139.40,Smart Room (2 beds),2 single beds,Wi-Fi in designated areas|Restaurant|Front desk (24 hours)|Non-smoking floor|Luggage storage|Wake-up call|Library|Designated Smoking Area
Lemeng Hotel,4.5,After tax US$120.70,Discount Queen Room,1 double bed,Wi-Fi in designated areas|Front desk (24 hours)|Café|Non-smoking floor|Luggage storage|Wake-up call|Teahouse
Financier Executive Residence,4.8,After tax US$498.10,One-bedroom Suite,1 king bed,Wi-Fi in designated areas|Indoor swimming pool|Gym|Front desk (24 hours)|Spa|Café|Non-smoking floor|ATM|Luggage storage|Wake-up call|Water sports
Manxin Beijing Qianmen Courtyard  Hotel,4.9,After tax US$202.30,Guestroom (Double bed),1 double bed,Wi-Fi in designated areas|Airport pickup service|Restaurant|Front desk (24 hours)|Non-smoking floor|Luggage storage|Wake-up call
Qiu Guo Hotel (Beijing West Railway Station South Square),4.8,After tax US$151.30,Guestroom - Double Occupancy (Double bed),1 queen bed,Wi-Fi in designated areas|Restaurant|Front desk (24 hours)|Café|Non-smoking floor|Luggage storage|Wake-up call|Designated Smoking Area
Financier Executive Residence,4.8,After tax US$501.03,One-bedroom Suite,1 king bed,Wi-Fi in designated areas|Indoor swimming pool|Gym|Front desk (24 hours)|Spa|Café|Non-smoking floor|ATM|Luggage storage|Wake-up call|Water sports
Manxin Beijing Qianmen Courtyard  Hotel,4.9,After tax US$203.49,Guestroom (Double bed),1 double bed,Wi-Fi in designated areas|Airport pickup service|Restaurant|Front desk (24 hours)|Non-smoking floor|Luggage storage|Wake-up call
Qiu Guo Hotel (Beijing West Railway Station South Square),4.8,After tax US$152.19,Guestroom - Double Occupancy (Double bed),1 queen bed,Wi-Fi in designated areas|Restaurant|Front desk (24 hours)|Café|Non-smoking floor|Luggage storage|Wake-up call|Designated Smoking Area
Sinopec Conference Center,4.6,After tax US$191.52,Guestroom - Double Occupancy (Double bed),1 queen bed,Wi-Fi in designated areas|Indoor swimming pool|Gym|Restaurant|Front desk (24 hours)|Massage|Sauna|Hot spring|Foot massage|Spa|Non-smoking floor|ATM|Luggage storage|Wake-up call|Karaoke|Table tennis|Billiards|Basketball|Tennis|Bowling|Mahjong/chess/poker room|Teahouse|Beauty salon
Shanli Lohas,4.4,After tax US$492.48,Lohas Courtyard,2 queen beds,Wi-Fi in designated areas|Outdoor swimming pool|Restaurant|Luggage storage|Golf course
Wanda Realm Beijing,4.7,After tax US$302.67,Deluxe Double Room,1 king bed,Wi-Fi in designated areas|Airport Shuttle Service|Indoor swimming pool|Gym|Restaurant|Café|Non-smoking floor|ATM|Luggage storage|Wake-up call
East Beijing,4.7,After tax US$294.12,Urban Twin Room,2 double beds,Wi-Fi in designated areas|Airport pickup service|Indoor swimming pool|Gym|Restaurant|Front desk (24 hours)|Bar|Café|Non-smoking floor|Currency exchange|ATM|Luggage storage|Wake-up call|Billiards
Beijing Wanda Vista Hotel,4.7,After tax US$432.63,Deluxe Double Room,1 king bed,Wi-Fi in designated areas|Airport pickup service|Indoor swimming pool|Gym|Restaurant|Front desk (24 hours)|Spa|Non-smoking floor|ATM|Luggage storage|Wake-up call|Teahouse|Beauty salon
Artyzen Habitat Dongzhimen Beijing,4.7,After tax US$225.72,Habitat 40 Plus King,1 queen bed,Wi-Fi in designated areas|Airport pickup service|Gym|Restaurant|Front desk (24 hours)|Bar|Café|Non-smoking floor|Luggage storage|Wake-up call|Billiards|Designated Smoking Area
Grand Metropark Hotel Beijing,4.7,After tax US$191.52,Standard Room (2 beds),2 single beds,Wi-Fi in designated areas|Airport pickup service|Indoor swimming pool|Gym|Restaurant|Front desk (24 hours)|Café|Non-smoking floor|Currency exchange|ATM|Luggage storage|Wake-up call|Beauty salon
Beijing Wanda Vista Hotel,4.7,After tax US$432.63,Deluxe Double Room,1 king bed,Wi-Fi in designated areas|Airport pickup service|Indoor swimming pool|Gym|Restaurant|Front desk (24 hours)|Spa|Non-smoking floor|ATM|Luggage storage|Wake-up call|Teahouse|Beauty salon
Artyzen Habitat Dongzhimen Beijing,4.7,After tax US$225.72,Habitat 40 Plus King,1 queen bed,Wi-Fi in designated areas|Airport pickup service|Gym|Restaurant|Front desk (24 hours)|Bar|Café|Non-smoking floor|Luggage storage|Wake-up call|Billiards|Designated Smoking Area
Grand Metropark Hotel Beijing,4.7,After tax US$191.52,Standard Room (2 beds),2 single beds,Wi-Fi in designated areas|Airport pickup service|Indoor swimming pool|Gym|Restaurant|Front desk (24 hours)|Café|Non-smoking floor|Currency exchange|ATM|Luggage storage|Wake-up call|Beauty salon
Sofitel Beijing Central,4.7,After tax US$336.87,Standard Room (2 beds),2 single beds,Wi-Fi in designated areas|Airport pickup service|Indoor swimming pool|Gym|Restaurant|Front desk (24 hours)|Spa|Bar|Café|Non-smoking floor|Currency exchange|Luggage storage|Wake-up call
Four Seasons Hotel Beijing,4.7,After tax US$432.63,Deluxe Room,1 queen bed or 2 single beds,Wi-Fi in designated areas|Airport pickup service|Indoor swimming pool|Gym|Restaurant|Front desk (24 hours)|Massage|Sauna|Spa|Bar|Café|Non-smoking floor|Currency exchange|ATM|Luggage storage|Wake-up call|Teahouse
The Peninsula Beijing Hotel,4.7,After tax US$521.55,Deluxe Suite,1 king bed or 2 single beds,Wi-Fi in designated areas|Airport pickup service|Indoor swimming pool|Gym|Restaurant|Front desk (24 hours)|Sauna|Foot massage|Spa|Non-smoking floor|Currency exchange|Luggage storage|Wake-up call
Fairmont Beijing,4.7,After tax US$400.14,Deluxe Twin Room,2 single beds,Wi-Fi in designated areas|Airport pickup service|Indoor swimming pool|Gym|Restaurant|Front desk (24 hours)|Massage|Sauna|Foot massage|Spa|Bar|Café|Non-smoking floor|Currency exchange|Luggage storage|Wake-up call|Beauty salon
Rosewood Beijing,4.7,After tax US$595.08,Deluxe Room,1 queen bed or 2 single beds,Wi-Fi in designated areas|Airport pickup service|Indoor swimming pool|Gym|Restaurant|Front desk (24 hours)|Massage|Sauna|Hot spring|Spa|Bar|Café|Non-smoking floor|Currency exchange|ATM|Luggage storage|Wake-up call
Marco Polo Parkside Beijing,4.6,After tax US$297.54,Deluxe Twin Room,2 single beds,Wi-Fi in designated areas|Airport pickup service|Indoor swimming pool|Gym|Restaurant|Front desk (24 hours)|Sauna|Spa|Massage|Non-smoking floor|Currency exchange|Luggage storage|Wake-up call
Kempinski Hotel Beijing Lufthansa Center,4.7,After tax US$406.98,Deluxe Twin Room,2 single beds,Wi-Fi in designated areas|Airport pickup service|Indoor swimming pool|Gym|Restaurant|Front desk (24 hours)|Massage|Sauna|Spa|Bar|Café|Non-smoking floor|Currency exchange|ATM|Luggage storage|Wake-up call|Tennis|Squash|Beauty salon
Conrad Beijing,4.6,After tax US$882.36,Themed Family Friendly Room,1 king bed,Wi-Fi in designated areas|Airport pickup service|Indoor swimming pool|Gym|Restaurant|Front desk (24 hours)|Spa|Bar|Café|Non-smoking floor|Currency exchange|ATM|Luggage storage|Wake-up call
Lavande Hotel(Beijing Huairou),4.8,After tax US$116.28,Elegant Double Room,1 queen bed,Wi-Fi in designated areas|Restaurant|Front desk (24 hours)|Non-smoking floor|ATM|Luggage storage|Wake-up call
Legendale Hotel Beijing,4.7,After tax US$374.49,Deluxe Room (2 beds),2 single beds,Wi-Fi in designated areas|Airport pickup service|Indoor swimming pool|Gym|Restaurant|Front desk (24 hours)|Massage|Bar|Café|Non-smoking floor|Luggage storage|Wake-up call|Beauty salon
Lijingwan International Hotel,4.6,After tax US$239.40,Deluxe Queen Room,1 king bed,Wi-Fi in designated areas|Airport pickup service|Indoor swimming pool|Gym|Restaurant|Front desk (24 hours)|Massage|Sauna|Foot massage|Bar|Non-smoking floor|Currency exchange|ATM|Luggage storage|Wake-up call|Table tennis|Mahjong/chess/poker room
White Bird Boutique Hostel,4.9,After tax US$124.83,Guestroom - Double Occupancy (Double bed),1 queen bed,Wi-Fi in designated areas|Restaurant|Café|Non-smoking floor|Luggage storage|Wake-up call|Mahjong/chess/poker room|Game room
"Metropark Lido Hotel, Beijing",4.5,After tax US$167.58,Holiday Inn Superior Room,2 double beds or 1 king bed,Wi-Fi in designated areas|Shuttle service to nearby landmarks|Airport pickup service|Indoor swimming pool|Gym|Restaurant|Front desk (24 hours)|Sauna|Spa|Bar|Café|Non-smoking floor|Currency exchange|ATM|Luggage storage|Wake-up call|Beauty salon
Park Plaza Beijing Wangfujing,4.7,After tax US$287.28,Superior Room,1 queen bed or 2 single beds,Wi-Fi in designated areas|Airport Shuttle Service|Airport pickup service|Gym|Restaurant|Front desk (24 hours)|Foot massage|Massage|Bar|Café|Currency exchange|Wake-up call
Holiday Inn Express Beijing Dongzhimen,4.7,After tax US$143.64,Superior Room (2 beds),2 single beds,Wi-Fi in designated areas|Shuttle service to nearby landmarks|Airport pickup service|Gym|Restaurant|Front desk (24 hours)|Bar|Café|Non-smoking floor|Currency exchange|ATM|Luggage storage|Wake-up call
Holiday Inn Express Beijing Badaling,4.7,After tax US$114.57,Standard Double Room,1 queen bed,Wi-Fi in designated areas|Restaurant|Front desk (24 hours)|Non-smoking floor|Luggage storage|Wake-up call|Designated Smoking Area
Haiyi Hotel,4.7,After tax US$235.98,Guestroom (Double bed),1 queen bed,Wi-Fi in designated areas|Restaurant|Front desk (24 hours)|Non-smoking floor|Luggage storage|Wake-up call
Haiyi Hotel,4.7,After tax US$235.98,Guestroom (Double bed),1 queen bed,Wi-Fi in designated areas|Restaurant|Front desk (24 hours)|Non-smoking floor|Luggage storage|Wake-up call
Liaoning International Hotel,4.5,After tax US$200.07,Superior Twin Room B,2 single beds,Wi-Fi in designated areas|Restaurant|Front desk (24 hours)|Non-smoking floor|Currency exchange|ATM|Luggage storage|Wake-up call|Mahjong/chess/poker room|Teahouse
Holiday Inn Beijing Haidian,4.7,After tax US$217.17,Superior Twin Room B,2 single beds,Wi-Fi in designated areas|Airport pickup service|Gym|Restaurant|Front desk (24 hours)|Massage|Bar|Café|Non-smoking floor|Currency exchange|ATM|Luggage storage|Wake-up call|Billiards
Pangu 7 Star Hotel Beijing,4.8,After tax US$577.98,Deluxe Room,2 single beds,Wi-Fi in designated areas|Airport pickup service|Indoor swimming pool|Gym|Restaurant|Front desk (24 hours)|Bar|Café|Non-smoking floor|Currency exchange|ATM|Luggage storage|Wake-up call
Soluxe Winterless Hotel (Beijing Huamao),4.5,After tax US$145.35,Deluxe Room,2 single beds,Front desk (24 hours)|Luggage storage|Wake-up call
Waldorf Astoria Beijing,4.7,After tax US$536.94,Deluxe King Room,1 king bed,Wi-Fi in designated areas|Airport pickup service|Indoor swimming pool|Gym|Restaurant|Front desk (24 hours)|Massage|Sauna|Spa|Bar|Non-smoking floor|Currency exchange|ATM|Luggage storage|Wake-up call|Designated Smoking Area
CHAO Sanlitun Beijing,4.6,After tax US$492.48,Guestroom (2 beds),2 double beds,Wi-Fi in designated areas|Airport pickup service|Outdoor swimming pool|Gym|Restaurant|Front desk (24 hours)|Bar|Café|Non-smoking floor|Luggage storage|Wake-up call|Library
"BEI Zhaolong Hotel, a Joie de Vivre hotel",4.7,After tax US$225.72,Standard Double Room,1 queen bed,Wi-Fi in designated areas|Airport pickup service|Gym|Restaurant|Front desk (24 hours)|Bar|Non-smoking floor|Currency exchange|Luggage storage|Wake-up call
Chenji Hotel (Beijing Yizhuang),4.6,After tax US$104.31,Discount Twin Room,2 single beds,Restaurant|Luggage storage|Wake-up call
Labagoumen Cloud Mountain Resort,4.2,After tax US$186.39,Cabin - 1-Room (1 living room),1 queen bed,Wi-Fi in designated areas|Restaurant|Front desk (24 hours)|Luggage storage|Mahjong/chess/poker room|Fishing
Labagoumen Cloud Mountain Resort,4.2,After tax US$187.48,Cabin - 1-Room (1 living room),1 queen bed,Wi-Fi in designated areas|Restaurant|Front desk (24 hours)|Luggage storage|Mahjong/chess/poker room|Fishing
Park Plaza (Beijing Science Park),4.7,After tax US$206.40,Superior Room,1 double bed or 2 single beds,Wi-Fi in designated areas|Airport pickup service|Gym|Restaurant|Front desk (24 hours)|Bar|Café|Non-smoking floor|Currency exchange|Luggage storage|Wake-up call
FX Inn (Beijing Yizhuang),4.5,After tax US$67.08,Discount Double Room,1 double bed,Wi-Fi in designated areas|Airport pickup service|Restaurant|Front desk (24 hours)|Massage|Café|Non-smoking floor|Luggage storage|Wake-up call|Teahouse
Grand Concordia Hotel,4.6,After tax US$182.32,Deluxe Twin Room,2 double beds,Wi-Fi in designated areas|Airport pickup service|Indoor swimming pool|Gym|Restaurant|Front desk (24 hours)|Foot massage|Massage|Bar|Café|Non-smoking floor|Currency exchange|Luggage storage|Wake-up call|Teahouse|Beauty salon
